iter	MultiQuantile:alpha=0.1,,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0	0.1977906607
1	0.1934877706
2	0.1891388756
3	0.1849242239
4	0.1808818235
5	0.1769520302
6	0.1732251359
7	0.1696774171
8	0.166148233
9	0.1628540563
10	0.1596378372
11	0.1565479006
12	0.1536015544
13	0.1507691874
14	0.1480845259
15	0.1454840134
16	0.1429863279
17	0.1407058864
18	0.1383697327
19	0.1361779054
20	0.1340706691
21	0.1320341765
22	0.1300775296
23	0.1282447148
24	0.1264588304
25	0.1247593715
26	0.1232136786
27	0.121656338
28	0.1202034443
29	0.1187734968
30	0.1174263203
31	0.1161250456
32	0.1148582552
33	0.1136687933
34	0.1125292414
35	0.1114356901
36	0.110408775
37	0.1094203339
38	0.1085302409
39	0.1076701773
40	0.1068348096
41	0.1060262581
42	0.1052530424
43	0.1045114875
44	0.1037861484
45	0.103105297
46	0.1024644511
47	0.1018457379
48	0.1012497228
49	0.1006995933
50	0.1001835379
51	0.09966954007
52	0.09919896598
53	0.09877161706
54	0.09834433155
55	0.09794107173
56	0.09756211327
57	0.0972082812
58	0.09686385862
59	0.09652427373
60	0.09619230055
61	0.09588291707
62	0.09561008986
63	0.09534732343
64	0.0950907932
65	0.09483272991
66	0.09460329255
67	0.09438199442
68	0.09417230284
69	0.09396626502
70	0.09376771047
71	0.0935819114
72	0.09339692513
73	0.09321805509
74	0.09305139761
75	0.09289603732
76	0.09274326743
77	0.09258707468
78	0.0924634693
79	0.09234667668
80	0.09222922738
81	0.09210893567
82	0.09198603412
83	0.09188619822
84	0.09179245769
85	0.09169265474
86	0.09160892812
87	0.09154824969
88	0.09146237046
89	0.09138410987
90	0.09129809416
91	0.09123232366
92	0.09116203383
93	0.09109676134
94	0.09103903916
95	0.0909742194
96	0.09092430596
97	0.09085120939
98	0.09078825368
99	0.09073406301
