iter	Passed	Remaining
0	50	5005
1	56	2787
2	61	1981
3	66	1585
4	71	1349
5	74	1167
6	78	1039
7	83	954
8	86	875
9	89	806
10	93	753
11	97	713
12	101	682
13	105	646
14	108	615
15	112	592
16	117	575
17	122	557
18	125	535
19	129	517
20	133	500
21	136	484
22	139	467
23	143	454
24	147	441
25	150	428
26	154	416
27	157	403
28	160	393
29	164	383
30	168	375
31	171	364
32	175	356
33	179	348
34	184	342
35	188	334
36	194	331
37	199	324
38	202	316
39	205	308
40	211	304
41	215	297
42	218	290
43	222	283
44	227	278
45	231	271
46	234	264
47	241	261
48	246	256
49	249	249
50	253	243
51	257	237
52	261	231
53	264	225
54	267	219
55	271	213
56	275	207
57	278	201
58	283	196
59	287	191
60	291	186
61	297	182
62	303	178
63	308	173
64	312	168
65	316	163
66	324	159
67	328	154
68	332	149
69	337	144
70	342	139
71	345	134
72	349	129
73	353	124
74	357	119
75	360	113
76	364	108
77	368	104
78	373	99
79	377	94
80	380	89
81	386	84
82	390	79
83	393	74
84	397	70
85	404	65
86	408	61
87	409	55
88	412	50
89	416	46
90	420	41
91	424	36
92	427	32
93	431	27
94	436	22
95	440	18
96	444	13
97	449	9
98	453	4
99	457	0
