iter	Passed	Remaining
0	4	450
1	8	398
2	22	731
3	25	608
4	28	544
5	32	509
6	36	482
7	39	454
8	42	431
9	45	409
10	48	392
11	51	377
12	57	382
13	61	376
14	65	370
15	70	369
16	76	375
17	82	375
18	87	374
19	92	371
20	97	365
21	103	367
22	107	358
23	110	350
24	113	341
25	117	333
26	120	326
27	124	319
28	132	324
29	134	314
30	138	307
31	141	299
32	144	292
33	148	288
34	155	288
35	161	286
36	165	282
37	170	277
38	174	272
39	178	267
40	183	263
41	188	260
42	192	255
43	197	250
44	200	245
45	203	238
46	206	232
47	208	226
48	213	222
49	215	215
50	218	209
51	222	204
52	224	199
53	229	195
54	232	189
55	236	186
56	239	180
57	244	176
58	246	171
59	250	167
60	253	162
61	257	157
62	261	153
63	264	148
64	267	143
65	269	138
66	273	134
67	278	131
68	281	126
69	285	122
70	288	117
71	292	113
72	295	109
73	298	105
74	304	101
75	309	97
76	311	93
77	313	88
78	318	84
79	321	80
80	324	76
81	327	71
82	330	67
83	334	63
84	337	59
85	339	55
86	341	51
87	345	47
88	348	43
89	353	39
90	356	35
91	359	31
92	361	27
93	363	23
94	365	19
95	368	15
96	371	11
97	374	7
98	378	3
99	384	0
