name,n_fichero,n_caracteres,texto,distancia,NER,Name,Partido
3,00000011.jpg.subtitulo.tif.txt,68,bueno cómo están los máquinas lo primero de todo estáis bien ,69,0,,Desconocido
4,00000012.jpg.subtitulo.tif.txt,112,pues eso que hemos venido a bailar a cantar y si hay que llorar las penas de 2023 pues las lloramos juntos ,104,0,,Desconocido
5,00000018.jpg.subtitulo.tif.txt,54,rayden calle de la llorería benidorm fest 2021 ,104,0,,Desconocido
6,00000019.jpg.subtitulo.tif.txt,82,la verdad es que rayden por no ir a eurovisión con esta canción no lloró mucho ,78,0,,Desconocido
7,00000020.jpg.subtitulo.tif.txt,60,anunció que se iba a retirar cuando lo veamos lloramos ,74,0,,Desconocido
8,00000025.jpg.subtitulo.tif.txt,43,fangoria dramas y comedias feliz 2015 ,61,0,,Desconocido
9,00000026.jpg.subtitulo.tif.txt,68,para algunos el año ha sido más dramático que cómico y viceversa ,69,0,,Desconocido
10,00000027.jpg.subtitulo.tif.txt,62,aunque también ha habido muchos como nacho canut a su bola ,70,0,,Desconocido
11,00000033.jpg.subtitulo.tif.txt,57,rozalén con estopa vivir territorio estopa 2019 ,75,0,,Desconocido
12,00000034.jpg.subtitulo.tif.txt,61,david maría y josé la santísima trinidad de la majuro ,66,0,,Desconocido
13,00000035.jpg.subtitulo.tif.txt,130,ste tema se escribió con cartas de mujeres con cáncer de mama si te ha tocado este año lo de la amnistía igual lo relativizas ,116,0,,Desconocido
14,00000037.jpg.subtitulo.tif.txt,45,pablo alborán y ava max tabú feliz 2020 ,120,0,,Desconocido
15,00000038.jpg.subtitulo.tif.txt,96,el famoso corte de pelo de ava se llama max cut que en español significa uyquétehanhecho ,85,0,,Desconocido
17,00000040.jpg.subtitulo.tif.txt,66,la que están liando los de mantenimiento para cambiar un flexo ,90,0,,Desconocido
18,00000045.jpg.subtitulo.tif.txt,69,miguel bosé y ricky martin bambú papito 30 años de música 2007 ,78,0,,Desconocido
19,00000046.jpg.subtitulo.tif.txt,68,no entendemos el rollo sexy entonces no habla de un oso panda ,79,0,,Desconocido
20,00000047.jpg.subtitulo.tif.txt,63,ojo que ricky con una mirada intensa te hace afirmocionista ,74,0,,Desconocido
21,00000053.jpg.subtitulo.tif.txt,54,thalia a quién le importa noche de fiesta 2002 ,63,0,,Desconocido
22,00000054.jpg.subtitulo.tif.txt,90,o cerráis la puerta o le dejáis un abrigo esto parece a quién le importa resfriarse ,71,0,,Desconocido
23,00000055.jpg.subtitulo.tif.txt,73,para una generación ella fue un icono thalia todo el rato en la tele ,87,0,,Desconocido
24,00000059.jpg.subtitulo.tif.txt,114,si no sabéis quién es quién toñi es la de la izquierda y encorna la que le da el chorro de aire acondicionado ,103,0,,Desconocido
26,00000061.jpg.subtitulo.tif.txt,65,los obsesivos llevamos 33 años pensando en el quitamanchas ,103,0,,Desconocido
27,00000062.jpg.subtitulo.tif.txt,65,esto te lo está cantando ahora mismo ese platito de polvorones ,74,0,,Desconocido
28,00000063.jpg.subtitulo.tif.txt,69,azúcar moreno ven devórame otra vez viva el espectáculo 1990 ,80,0,,Desconocido
29,00000066.jpg.subtitulo.tif.txt,58,sándalo te informo este año cruz y raya seguro 1994 ,65,0,,Desconocido
30,00000067.jpg.subtitulo.tif.txt,91,os informamos para la elaboración de este peinado no se ha maltratado a ningún mapache ,85,0,,Desconocido
31,00000068.jpg.subtitulo.tif.txt,83,aún no nos explicamos cómo nadie ha usado esto como sintonía de los informativos ,98,0,,Desconocido
32,00000074.jpg.subtitulo.tif.txt,97,los conceptos raya y real no volverían a estar tan juntos desde lo de froilán en la sauna ,99,0,,Desconocido
