cod_postal,tipo,cod_prov,area_m2,centroide_longitud,centroide_latitud,provincia
02448,jefe,02,148991368.2429924,-2.298329872876769,38.525169257565516,ALBACETE
03520,jefe,03,37042064.756407134,-0.15244449391289114,38.620793773345326,ALICANTE/ALACANT
04727,jefe,04,9588838.40208894,-2.62205436600695,36.834718419157426,ALMERIA
01230,jefe,01,35902007.17690874,-2.8086204804305286,42.81430186216849,ARABA/ALAVA
33812,jefe,33,252988226.96665865,-6.622975255789383,42.94372598025807,ASTURIAS
05195,jefe,05,107465887.11311515,-4.5190190813174285,40.66192536841609,AVILA
06173,jefe,06,131932769.72570834,-6.737734533547473,38.60577315291681,BADAJOZ
07196,jefe,07,47889342.204164,2.469982815809148,39.596097796790914,"BALEARS, ILLES"
08191,jefe,08,57386281.94114815,2.0146889193228392,41.50151921713747,BARCELONA
48500,jefe,48,33478635.77363459,-3.087780754996485,43.310803909674746,BIZKAIA
09691,jefe,09,242221971.99395636,-3.2065747084990406,42.0021293548418,BURGOS
10710,jefe,10,229646805.04246747,-6.072701647834054,40.26619190268141,CACERES
11600,jefe,11,108706206.78568813,-5.4637094176858945,36.65856442599423,CADIZ
39749,jefe,39,9162430.031401027,-3.446347399255759,43.45748094821172,CANTABRIA
12315,jefe,12,158695831.58672705,0.08860888757166256,40.608010349763674,CASTELLON/CASTELLO
13108,jefe,13,188685624.5768067,-4.37755772314763,38.98853736073752,CIUDAD REAL
14659,jefe,14,27609231.172807988,-4.424290054030662,37.9386468307427,CORDOBA
15198,jefe,15,26066368.618299246,-8.403700141518675,43.25128755095855,"CORUNA, A"
16200,jefe,16,124491659.06173907,-1.9097171148702803,39.56304777700712,CUENCA
20010,jefe,20,622909.6783660076,-1.9807671175928474,43.306986797629285,GIPUZKOA
17185,jefe,17,37933290.62047635,2.740719692569481,41.88134222216184,GIRONA
18328,jefe,18,58574459.309609175,-3.873281445731719,37.190571658716856,GRANADA
19188,jefe,19,5866952.760055006,-3.4865627135927335,40.79268767289117,GUADALAJARA
21387,jefe,21,21902783.92833447,-6.696743692993396,38.07515318620042,HUELVA
22664,jefe,22,7942918.780325089,-0.33042725931042044,42.72687518592852,HUESCA
23369,jefe,23,120849654.49195063,-2.8042904907012765,38.38317312307564,JAEN
24450,jefe,24,26364338.049506545,-6.507081295684861,42.69824452024689,LEON
25187,jefe,25,100245506.56975438,0.40641011323784637,41.32107929695489,LLEIDA
27792,jefe,27,11827915.58921196,-7.211947148446378,43.548109029710254,LUGO
28015,jefe,28,2593011.9883471755,-3.7109129983437628,40.43230542882502,MADRID
29531,jefe,29,124175896.19474328,-4.742244853961505,37.105640960033625,MALAGA
30509,jefe,30,75505085.91402443,-1.1836487208252402,38.10611208991767,MURCIA
31809,jefe,31,63417024.84868948,-2.2137422496996004,42.88612220003115,"NAVARRA"
32848,jefe,32,10183381.56782192,-7.977135199199649,41.98971102806343,OURENSE
34479,jefe,34,49891663.27411553,-4.419046842149169,42.43556373461959,PALENCIA
35139,jefe,35,3962853.84522295,-15.765516720117175,27.82980122453664,"PALMAS, LAS"
36610,jefe,36,7126462.21171267,-8.762226885752398,42.615383987094425,PONTEVEDRA
26375,jefe,26,38582530.156649284,-2.5155288346494746,42.3928701812963,"RIOJA, LA"
37810,jefe,37,75493583.75453599,-5.434875382422499,40.86801058083627,SALAMANCA
38917,jefe,38,545504.3820894808,-17.98059197919794,27.641884164874934,SANTA CRUZ DE TENERIFE
40591,jefe,40,35184547.07120305,-3.585750015922932,41.21958399099251,SEGOVIA
41760,jefe,41,144046055.28670186,-5.619513786340118,37.026448667065026,SEVILLA
42342,jefe,42,282808801.03397703,-3.3032272115114774,41.45338945553718,SORIA
43153,jefe,43,5347870.664466836,1.244640798854748,41.209789387618784,TARRAGONA
44540,jefe,44,362787929.34659725,-0.5627645213271626,41.12221663303333,TERUEL
45440,jefe,45,35999998.94284533,-3.8794933370585083,39.7141856682631,TOLEDO
46530,jefe,46,49238779.743991196,-0.319832461373936,39.62761172144343,VALENCIA/VALENCIA
47280,jefe,47,52445813.441934645,-4.703640745365624,41.81616417538798,VALLADOLID
49572,jefe,49,165872888.86690122,-6.890346211850565,41.979059463163594,ZAMORA
50709,jefe,50,210177790.48403412,0.018079133987283436,41.187961181259226,ZARAGOZA
43762,jefe,43,15463345.137183886,1.3558310826005318,41.163715380655766,TARRAGONA
03013,jefe,03,1155617.7921914563,-0.4749231373723506,38.35668517265031,ALICANTE/ALACANT
50214,jefe,50,65027004.3919269,-1.844630662157521,41.13018609310176,ZARAGOZA
34479,jefe,34,49891663.27411553,-4.419046842149169,42.43556373461959,PALENCIA
41599,jefe,41,84767477.75443941,-4.7238733731910205,37.24763007238304,SEVILLA
10480,jefe,10,71414449.96091206,-5.371340567786707,40.188873882918024,CACERES
47170,jefe,47,52074379.248548806,-4.627862558150447,41.65066856539986,VALLADOLID
14729,jefe,14,171616529.4929953,-4.994708097465719,37.85502620098151,CORDOBA
18006,jefe,18,3245912.3840571027,-3.6090332761684247,37.16060534341644,GRANADA
22572,jefe,22,67836322.20432638,0.5420738835873641,41.87925772829843,HUESCA
30891,jefe,30,122083968.92382167,-1.796086954620331,37.53708271401664,MURCIA
14547,jefe,14,188570613.79226828,-4.833129724153387,37.5774209684608,CORDOBA
45641,jefe,45,63776797.530234404,-4.686768020297197,40.079193298699934,TOLEDO
50440,jefe,50,15479726.914979162,-1.0532854223626817,41.478755147874686,ZARAGOZA
33327,jefe,33,26171151.334302068,-5.3065611191675535,43.48040010010615,ASTURIAS
44610,jefe,44,143006908.19587484,0.18580166391592803,41.017174881219525,TERUEL
33812,jefe,33,252988226.96665865,-6.622975255789383,42.94372598025807,ASTURIAS
14430,jefe,14,504827983.5238736,-4.574049057800239,38.09615248427467,CORDOBA
04727,jefe,04,9588838.40208894,-2.62205436600695,36.834718419157426,ALMERIA
26211,jefe,26,80506755.64816585,-3.0145922016715123,42.592296846079215,"RIOJA, LA"
07749,jefe,07,53516267.240564294,4.0379307567473175,39.94333793979068,"BALEARS, ILLES"
03599,jefe,03,33796723.175988495,-0.039462012272975605,38.63875582208478,ALICANTE/ALACANT
39696,jefe,39,73980600.0095583,-3.7668785875273656,43.20230000887548,CANTABRIA
07579,jefe,07,117663957.15152727,3.303670009657246,39.72833982383349,"BALEARS, ILLES"
31315,jefe,31,40512941.208172485,-1.6078014616937395,42.35902039987177,"NAVARRA"
07830,jefe,07,76335103.04089628,1.2799533825003786,38.90967909205134,"BALEARS, ILLES"
08011,jefe,08,968835.8403977547,2.159693771623665,41.38461225385032,BARCELONA
30612,jefe,30,64879943.49383856,-1.2874033949472348,38.164182798079544,MURCIA
43716,jefe,43,6681857.859892173,1.494657288907175,41.24239401754766,TARRAGONA
17754,jefe,17,69699703.83571237,3.0495912896096384,42.407905384444355,GIRONA
31283,jefe,31,77003274.502471,-2.253985354104848,42.713729545133305,"NAVARRA"
46269,jefe,46,212562966.20936024,-0.6613573086928562,39.187964176487384,VALENCIA/VALENCIA
08182,jefe,08,26948191.23846021,2.1612402713187366,41.698778574518904,BARCELONA
38892,jefe,38,14715128.112777857,-17.30193354018999,28.13605747787469,SANTA CRUZ DE TENERIFE
46613,jefe,46,22678831.587203622,-0.3235699566208063,39.138035886404694,VALENCIA/VALENCIA
47280,jefe,47,52445813.441934645,-4.703640745365624,41.81616417538798,VALLADOLID
10611,jefe,10,131603336.12198603,-5.681852610928144,40.24056489562418,CACERES
39311,jefe,39,17167517.029094145,-4.084134030825744,43.32673435797455,CANTABRIA
38459,jefe,38,30871513.6628741,-16.746415236440384,28.322973624792112,SANTA CRUZ DE TENERIFE
09557,jefe,09,128196094.49207413,-3.662857318437137,42.96938855684029,BURGOS
21387,jefe,21,21902783.92833447,-6.696743692993396,38.07515318620042,HUELVA
34117,jefe,34,95017325.681062,-4.74132235321102,42.58945713837512,PALENCIA
09215,jefe,09,128787255.16340905,-2.7433613575083826,42.73963575717392,BURGOS
46269,jefe,46,212562966.20936024,-0.6613573086928562,39.187964176487384,VALENCIA/VALENCIA
15680,jefe,15,1297352.0362765417,-8.405877146873381,43.073284786351834,"CORUNA, A"
02006,jefe,02,34978868.403364174,-1.8834843577661289,38.97730916388356,ALBACETE
14659,jefe,14,27609231.172807988,-4.424290054030662,37.9386468307427,CORDOBA
41770,jefe,41,183345906.89493415,-5.547168883421287,37.00449822340658,SEVILLA
43321,jefe,43,12299885.988630965,0.8525321084968189,41.04200201410554,TARRAGONA
08204,jefe,08,2333769.983296131,2.1152446730197285,41.52727656635069,BARCELONA
30629,jefe,30,116412802.1570759,-1.167598611748149,38.24526903194418,MURCIA
19150,jefe,19,149292253.75938776,-3.1365849393964793,40.56182245649816,GUADALAJARA
30385,jefe,30,62302654.434566654,-0.7873316134503923,37.61242425941495,MURCIA
49623,jefe,49,28510880.330278803,-5.801637347627639,42.000044720780146,ZAMORA
24310,jefe,24,29789164.70102477,-6.350935299484804,42.613019263190864,LEON
26327,jefe,26,27951677.34069262,-2.875820627746302,42.318277394926575,"RIOJA, LA"
17720,jefe,17,73444668.79645647,2.7433897921734944,42.38547600204,GIRONA
12184,jefe,12,37865404.74711029,0.04269599397452944,40.30388429711562,CASTELLON/CASTELLO
44330,jefe,44,68586662.09566696,-1.331275899407425,41.01167586310606,TERUEL
15937,jefe,15,58563964.14595784,-8.908826365157651,42.698989863089686,"CORUNA, A"
09218,jefe,09,17502357.673293475,-2.834330587780321,42.68787824282018,BURGOS
12118,jefe,12,51546278.77587608,-0.16935759748021506,40.169469537908974,CASTELLON/CASTELLO
11611,jefe,11,92656753.30407892,-5.367122887735535,36.68634417503445,CADIZ
45684,jefe,45,69101461.83623306,-4.625881289468015,40.005126006496866,TOLEDO
13195,jefe,13,52741797.18617949,-4.00570610041936,38.93547158924814,CIUDAD REAL
18516,jefe,18,146541813.18195415,-3.2377498999043324,37.22760733615249,GRANADA
09557,jefe,09,128196094.49207413,-3.662857318437137,42.96938855684029,BURGOS
12163,jefe,12,200211148.4539648,-0.12332124107767087,40.30820954961982,CASTELLON/CASTELLO
37251,jefe,37,49163947.482023574,-6.592108369031416,41.20462581298787,SALAMANCA
27339,jefe,27,45909846.614703596,-7.3140993524161635,42.56815542982309,LUGO
25266,jefe,25,84698686.51573008,1.0133997506378853,41.54451424668886,LLEIDA
46368,jefe,46,63049878.27028322,-0.7959911480862945,39.34787822345241,VALENCIA/VALENCIA
37589,jefe,37,69569027.75229579,-6.3574173749080485,40.60577966349067,SALAMANCA
04879,jefe,04,40417935.46653232,-2.3489484280934425,37.392888901804064,ALMERIA
15403,jefe,15,2747388.231948495,-8.22592276552606,43.48317619623077,"CORUNA, A"
12185,jefe,12,235525891.27535027,0.11856899066733052,40.32381507463528,CASTELLON/CASTELLO
